,,Fiscal Year,Fiscal Year,Fiscal Year
Need State 5,6,12349.5,29843.25,78102.75
Need State 5,7,19611.75,55258.5,141602.25
Need State 5,8,14553.75,32664,66030.75
Need State 5,9,18550.5,37790.25,72634.5
Need State 5,10,40655.25,71468.25,124755.75
Need State 5,11,37981.5,43072.5,75292.5
Need State 5,12,71428.5,53145,85533
Need State 5,13,100258.5,88083.75,137568
Need State 5,14,134664.75,67195.5,103520.25
Need State 5,15,357144.75,132243,314976.75
Need State 5,16,191838,91773,271800
Need State 5,17,237999.75,226299,322632
Need State 5,18,139817.25,167946.75,274773
Need State 5,19,312561,470982.75,473654.25
Need State 5,20,518168.25,372768.75,501765
Need State 5,21,513900.75,344436,470071.5
Need State 5,22,394731.75,289023,421236.75
Need State 5,23,550308.75,318934.5,459377.25
Need State 5,24,285318.75,214361.25,229480.5
Need State 5,25,431457,209683.5,223968
Need State 5,26,423452.25,376593,367922.25
Need State 5,27,359622,372075,567182.25
Need State 5,28,221511,316325.25,350797.5
Need State 5,29,185678.25,351225.75,322473
Need State 5,30,114351.75,224478.75,234322.5
Need State 5,31,162773.25,243281.25,325967.25
Need State 5,32,101369.25,173972.25,196348.5
Need State 5,33,115697.25,208303.5,203193
Need State 5,34,90660.75,124107.75,121110
Need State 5,35,60320.25,101968.5,102096.75
Need State 5,36,54356.25,96456.75,131212.5
Need State 5,37,28747.5,50045.25,54834.75
Need State 5,38,26284.5,37590.75,49947.75
Need State 5,39,21485.25,39851.25,43021.5
Need State 5,40,17242.5,37157.25,57792.75
Need State 5,41,16965,38195.25,36111
Need State 5,42,16812,37272.75,0
Need State 5,43,17764.5,37506,0
Need State 5,44,19355.25,41302.5,0
Need State 5,45,20537.25,44122.5,0
Need State 5,46,16779,41511,0
Need State 5,47,18098.25,42525,0
Need State 5,48,18330.75,47463.75,0
Need State 5,49,20747.25,42303.75,0
Need State 5,50,24914.25,52988.25,0
Need State 5,51,27582.75,66698.25,0
Need State 5,52,17217,56187,0
Need State 6,1,457623.75,384471,501529.5
Need State 6,2,452605.5,450858.75,509521.5
Need State 6,3,519924.75,410819.25,446024.25
Need State 6,4,452333.25,448701,457716
Need State 6,5,498557.25,478038,527733.75
Need State 6,6,419428.5,406074.75,402555.75
Need State 6,7,453241.5,447076.5,458151
Need State 6,8,442299.75,390552,363480
Need State 6,9,481197.75,469013.25,454386
Need State 6,10,433210.5,381734.25,364653.75
Need State 6,11,437310,371655,405682.5
Need State 6,12,451910.25,403875,536372.25
Need State 6,13,513787.5,412167.75,480694.5
Need State 6,14,452303.25,445714.5,530727.75
Need State 6,15,575215.5,448818.75,488230.5
Need State 6,16,502910.25,478236,608992.5
Need State 6,17,578840.25,520363.5,564209.25
Need State 6,18,543561.75,517944,559329
Need State 6,19,575613,532359,562097.25
Need State 6,20,589250.25,580415.25,650018.25
Need State 6,21,638303.25,604898.25,633448.5
Need State 6,22,605715,654940.5,594639.75
Need State 6,23,600681.75,662591.25,645783.75
Need State 6,24,569337.75,601500.75,531115.5
Need State 6,25,614652.75,677479.5,607638.75
Need State 6,26,608798.25,728220,651807
Need State 6,27,572934,661668.75,679577.25
Need State 6,28,634277.25,746676,745095
Need State 6,29,580917.75,693763.5,674622.75
Need State 6,30,623953.5,757847.25,707812.5
Need State 6,31,643022.25,736050,748389
Need State 6,32,587031,587856,597834
Need State 6,33,563960.25,606399,597742.5
Need State 6,34,561347.25,614218.5,550413.75
Need State 6,35,635652.75,705362.25,645942
Need State 6,36,572483.25,647723.25,630081
Need State 6,37,473444.25,523893.75,517164
Need State 6,38,560229.75,596139,600510.75
Need State 6,39,477628.5,471980.25,526870.5
Need State 6,40,514454.25,510469.5,572774.25
Need State 6,41,465327,450142.5,527268
Need State 6,42,484701.75,475101.75,0
Need State 6,43,526055.25,485091,0
Need State 6,44,432303.75,409923.75,0
Need State 6,45,475594.5,448538.25,0
Need State 6,46,402365.25,359235.75,0
Need State 6,47,457254.75,524727.75,0
Need State 6,48,482283,585123.75,0
Need State 6,49,411926.25,540969,0
Need State 6,50,428814.75,584413.5,0
Need State 6,51,470064.75,581396.25,0
Need State 6,52,373771.5,552392.25,0
